row,col,fitted_celltype,state
38041.382352941175,27113.878151260506,Cytotoxic T cells,0
38057.47345132743,27117.38495575221,Cytotoxic T cells,0
38112.31632653061,27117.48979591837,Macrophages (CD163-),4
38128.27403846154,27117.16826923077,Neutrophils,5
37929.502538071065,27118.426395939085,Tumor cells,8
38022.15762273902,27119.34625322997,Tumor cells,8
38097.41584158416,27119.336633663366,Tumor cells,8
37951.80530973451,27118.15044247788,Tumor cells,8
37967.067019400354,27117.74074074074,Tumor cells,8
38074.544554455446,27125.422442244224,Cytotoxic T cells,0
38134.55244755245,27127.79020979021,Neutrophils,5
38058.958333333336,27129.0,Tumor cells,8
38102.083333333336,27129.128205128207,Neutrophils,5
37938.66860465116,27127.316860465115,Tumor cells,8
37984.48339483395,27128.630996309963,Tumor cells,8
38039.592039801,27128.592039800995,Tumor cells,8
37912.117647058825,27127.581176470587,Tumor cells,8
38005.304932735424,27129.81614349776,Tumor cells,8
38089.09316770186,27129.950310559005,Cytotoxic T cells,0
37956.31868131869,27132.16483516484,Tumor cells,8
38065.21428571428,27133.0,Tumor cells,8
